CustomerId,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Complain,Satisfaction Score,Card Type,Point Earned,Geography_France,Geography_Germany,Geography_Spain,Exited
15743570,481,0,34.0,5,0.0,2,1,1,125253.46,0,4,3,848,True,False,False,0
15574692,667,0,39.0,2,0.0,2,1,0,40721.24,1,5,3,308,False,False,True,1
15657957,602,0,26.0,8,113674.2,1,1,0,197861.16,1,3,4,368,False,True,False,1
15593694,814,1,49.0,8,0.0,2,0,0,157822.54,0,3,2,539,True,False,False,0
15584462,739,1,34.0,9,0.0,1,1,0,60584.33,0,3,3,788,True,False,False,0
15723320,651,0,25.0,2,109175.14,2,1,0,114566.47,0,1,1,652,False,True,False,0
15568885,620,0,34.0,8,102251.57,1,1,0,120672.09,0,4,1,663,False,True,False,0
15684960,559,0,46.0,5,0.0,1,1,0,21006.1,1,1,4,486,True,False,False,1
15703614,564,1,48.0,5,132876.23,1,1,0,79259.77,0,1,4,741,False,False,True,0
15768476,703,1,31.0,6,0.0,2,1,1,67667.19,0,3,3,975,False,False,True,0
15711733,753,1,48.0,4,0.0,2,0,1,146821.42,0,2,4,933,True,False,False,0
15705890,674,1,45.0,7,142072.02,1,1,0,37013.29,0,2,2,710,True,False,False,0
15653222,526,0,32.0,6,131938.92,2,1,1,1795.93,0,4,1,414,False,True,False,0
15774151,614,0,41.0,7,179915.85,1,0,0,14666.35,1,3,2,451,False,False,True,1
15812945,582,0,29.0,0,0.0,1,1,1,84012.81,0,2,4,572,True,False,False,0
15752047,689,1,33.0,2,161814.64,2,1,0,169381.9,0,3,3,292,False,True,False,0
15792250,616,0,45.0,4,122793.96,1,1,1,62002.04,0,5,1,224,False,True,False,0
15805637,625,1,36.0,9,108546.16,2,1,0,133807.77,1,5,2,330,True,False,False,1
15696859,474,1,45.0,10,0.0,2,0,0,172175.9,0,4,3,792,True,False,False,0
15605000,550,1,38.0,9,140278.99,2,1,1,171457.06,1,5,2,230,True,False,False,1
15642870,677,1,58.0,9,0.0,1,0,1,168650.4,0,5,2,817,True,False,False,0
15572360,683,1,30.0,10,57657.49,1,0,0,79240.9,0,3,2,905,True,False,False,0
15775203,824,1,45.0,3,129209.48,1,0,0,60151.77,0,2,4,907,True,False,False,0
15652658,721,1,36.0,1,155176.83,2,1,1,49653.37,0,5,1,667,True,False,False,0
15622171,642,1,30.0,8,80964.57,2,1,0,174738.2,0,4,3,270,True,False,False,0
15682686,722,0,38.0,3,0.0,2,0,1,167984.72,0,1,4,242,True,False,False,0
15807003,762,1,32.0,10,191775.65,1,1,0,179657.83,0,2,4,914,True,False,False,0
15578865,632,0,50.0,5,107959.39,1,1,1,6985.34,1,5,1,344,False,True,False,1
15617877,607,1,44.0,0,0.0,2,1,1,81140.09,0,4,4,430,True,False,False,0
15641585,850,1,40.0,6,97339.99,1,0,1,88815.25,0,1,2,756,True,False,False,0
15565701,698,0,39.0,9,161993.89,1,0,0,90212.38,0,3,4,515,False,False,True,0
15726796,844,1,38.0,7,111501.66,1,1,1,119333.38,0,5,1,962,True,False,False,0
15759133,616,1,21.0,6,0.0,2,1,1,27308.58,0,3,3,466,True,False,False,0
15606273,616,1,37.0,5,144235.73,2,0,0,154957.66,1,1,3,993,True,False,False,1
15778589,626,1,34.0,7,113014.7,2,1,1,56646.28,0,5,1,664,True,False,False,0
15620988,616,1,46.0,2,0.0,2,1,0,137136.46,0,2,2,646,True,False,False,0
15627203,508,1,54.0,10,0.0,1,1,1,175749.36,0,3,2,661,False,False,True,0
15602929,728,0,37.0,4,0.0,1,0,0,4539.38,0,2,4,521,False,False,True,0
15567778,690,0,54.0,1,144027.8,1,1,1,108731.02,1,5,1,480,False,True,False,1
15778192,628,1,28.0,4,0.0,2,1,1,176750.81,0,3,4,997,False,False,True,0
